"PC","Eigenvalue","PropVar","CumPropVar"
"PC1",2.48024157914949,0.620060394787373,0.620060394787373
"PC2",0.989765152539842,0.24744128813496,0.867501682922334
"PC3",0.35656318058083,0.0891407951452076,0.956642478067541
"PC4",0.173430087729835,0.0433575219324588,1
